cluster_label,rel_session,u_t,y_t,recovery_score
Fast recovery / lower burden,-2,727.0960817722549,65.38963840353222,46.85175579485692
Fast recovery / lower burden,-1,719.3760554767746,65.89772901490599,44.359569296499046
Fast recovery / lower burden,0,765.7538321094409,71.56509084974702,40.246828186395014
Fast recovery / lower burden,1,665.1185167291455,56.17912556678896,57.929836478002606
Fast recovery / lower burden,2,635.9399916890391,56.221761446149486,58.917676160541696
Fast recovery / lower burden,3,612.1383128061209,53.71778537309592,58.75704216785868
Intermediate recovery / higher burden,-2,753.8063444604102,70.3446800222566,44.1454577709694
Intermediate recovery / higher burden,-1,779.20069632184,72.6845604964075,41.89079262699995
Intermediate recovery / higher burden,0,808.0313992963559,78.13510434486953,37.320695040492865
Intermediate recovery / higher burden,1,684.6444951988547,60.7891723474149,53.7708636085778
Intermediate recovery / higher burden,2,675.9494680454073,60.81463625646162,54.22721204937246
Intermediate recovery / higher burden,3,680.2257094250124,60.40527857109867,53.862584207976745
Slow recovery / high persistence,-2,772.4050982011415,72.24975234570599,44.46337217512583
Slow recovery / high persistence,-1,768.5973028291718,71.1589166033827,42.27883442288527
Slow recovery / high persistence,0,824.8400893338512,79.21008728345264,37.31274177510579
Slow recovery / high persistence,1,723.4242221068095,64.40852262150027,53.5817913844679
Slow recovery / high persistence,2,700.8416548586486,62.03509662121842,52.15356524168043
Slow recovery / high persistence,3,691.8688662325592,61.92208280271482,54.735461587113214
