covariance_type,n_components,bic,aic
full,1,1734.565127247199,1673.5680071022082
full,2,1685.5374766253685,1560.4933803281376
full,3,1684.5053052380492,1495.414232788578
full,4,1664.2974844392725,1411.159435837561
full,5,1709.3675556358332,1392.1825308818813
full,6,1767.8913432226072,1386.659342316415
tied,1,1734.565127247199,1673.5680071022082
tied,2,1759.992600436839,1680.6963442483511
tied,3,1689.6864943928956,1592.0911021609104
tied,4,1704.5670673521643,1588.672539076682
tied,5,1691.3636691892996,1557.1700048703199
tied,6,1706.1396765468014,1553.6468761843246
diag,1,2264.042671872174,2233.544111799679
diag,2,2158.049442104621,2094.0024659523806
diag,3,2128.065657926041,2030.4702656940558
diag,4,2112.6444790713977,1981.5006707596674
diag,5,2113.857015371597,1949.164790980122
diag,6,2118.630948107319,1920.390307636099
spherical,1,2243.8432478431764,2225.5441117996793
spherical,2,2171.696290001007,2132.048161906763
spherical,3,2148.868807772931,2087.8716876279404
spherical,4,2133.0977293232218,2050.7516171274847
spherical,5,2106.7713684692403,2003.0762642227562
spherical,6,2069.5001191476463,1944.4560228504151
